Category,URL,회사명,타이틀
데이터,https://www.wanted.co.kr/wd/192382,카카오헬스케어,데이터 엔지니어 (5년 이상)
데이터,https://www.wanted.co.kr/wd/159752,코넥시오에이치,데이터 애널리스트(Data Analyst) (병역특례 전문연구요원)
데이터,https://www.wanted.co.kr/wd/173219,스칼라데이터,재무실장
데이터,https://www.wanted.co.kr/wd/191182,딥노이드(Deepnoid),데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/191495,에스넷시스템,AI 빅데이터 분석 컨설턴트
데이터,https://www.wanted.co.kr/wd/149184,어반데이터랩,AI데이터 연구원
데이터,https://www.wanted.co.kr/wd/146430,플루토랩스,Research Team_Data Scientist
데이터,https://www.wanted.co.kr/wd/191608,스포카,데이터 분석가(시니어)
데이터,https://www.wanted.co.kr/wd/180361,무신사,"Senior, Data Engineer (데이터플랫폼팀)"
데이터,https://www.wanted.co.kr/wd/190468,솔로몬텍,데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/146623,펑타이그레이터차이나(피티코리아),데이터 분석 솔루션 기획/운영
데이터,https://www.wanted.co.kr/wd/189540,셀렉트스타,[부산 근무] AI 학습데이터 프로젝트 매니저(PM)
데이터,https://www.wanted.co.kr/wd/185639,이공이공,마케팅 프로모션 실무 및 데이터 정리 담당자
데이터,https://www.wanted.co.kr/wd/119896,데이터얼라이언스,클라우드/SI 영업 (3년 이상)
데이터,https://www.wanted.co.kr/wd/144466,어반데이터랩,"MICE, BTL 기획/운영/홍보 담당"
데이터,https://www.wanted.co.kr/wd/174913,클로인트,블록체인 데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/184606,모아데이타,해외영업 담당자 (5년 이상)
데이터,https://www.wanted.co.kr/wd/191214,지란지교데이터,MFC/C++/C 개발자 (신입) - 대전
데이터,https://www.wanted.co.kr/wd/191630,에비드넷,헬스케어 데이터 ETL
